No.	名前	読み	Name	セット	コスト	コスト(int)	ポーション	借金	分類	種類	勝利点	+card	+action	+buy	+coin	+VPtoken	能力	Ability	説明
11	金貸し	かねかし	Moneylender	基本	4	4	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたの手札から銅貨1枚を廃棄する。そうした場合、+3コインを使用できる。	【Ability】Trash a Copper card from your hand.If you do， +3 Coins.	【説明】手札に廃棄する「銅貨」がない場合は、購入フェイズに使う+3コインを得ることはできない。（メモ）※手札公開の義務がないため、手札の「銅貨」を隠しての「金貸し」空撃ちが可能だが、すべきではない。
12	木こり	きこり	Woodcutter	基本	3	3	0	0	王国	Action	0	0	0	1	2	0	【能力】+1カードを購入。+2コイン。	【Ability】+1 Buy+2 Coins	【説明】自分の購入フェイズに、サプライにあるカードをもう1枚購入でき、使う財宝カードの合計コイン数に、追加で2コイン加えることができる。（メモ）
13	議事堂	ぎじどう	Council Room	基本	5	5	0	0	王国	Action	0	4	0	1	0	0	【能力】+4カードを引く。+1カードを購入。他のプレイヤー全員は、カードを1枚引く。	【Ability】+4 Cards+1 BuyEach other player draws a card.	【説明】他のプレイヤーは、強制的にカード1枚を引かなければならない。他のプレイヤーは、必要であれば捨て札をシャッフルして新たな山札を作る。（メモ）※他のプレイヤー全員のカード1枚引きはアタックではないため、「堀」「秘密の部屋」「馬商人」「物乞い」のリアクションはできない。
14	玉座の間	ぎょくざのま	Throne Room	基本	4	4	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたの手札のアクションカード1枚を選ぶ。そのカードを2回使用する。	【Ability】Choose an Action card in your hand.Play it twice.	【説明】使用したプレイヤーは、自分の手札からもう1枚アクションカードを選び、それを使用し、その後もう一度使用する。この効果によるアクションカードの2回の使用は、他の効果で得ていた追加のアクションとして数えない。1度目のアクションが完了してから、2度目のアクションを実行する。「玉座の間」の効果でもう一枚の「玉座の間」を使用する場合、1つのアクションを2回実行し、それから別のアクションを2回実行する。1つのアクションを4回実行するわけではない。「玉座の間」の効果で「市場」のような+1アクションの効果があるカードを使用する場合、「市場」を2回実行したあと、+2アクションが残っている。通常「市場」のカードの効果でもう1枚の「市場」を使用した場合は、その後に+1アクションしか残らないため、注意する。混乱しないように残りのアクション数を声に出して数えることを忘れないように。「玉座の間」の効果による2回のアクションの間に、別のアクションを使用することはできない。（メモ）※手札にアクションカードが1枚でもある場合は、それを2回使用しなければならない。※手札にアクションカードがない場合は、何の効果も発生せず、「玉座の間」の空撃ちになる（「玉座の間」自体は1アクションを消費し使用したことになる）。これは無意味な行為となるのですべきではない。※手札公開の義務がないため、手札のアクションカードを隠しての「玉座の間」空撃ちが可能だがすべきではない（その後にアクションカードを使用すれば露見する）。※「玉座の間」を使用し「玉座の間（Ａ）」を使用した場合、Ａの1回目の使用でアクションカード（Ｂ）を2回使用し、Ａの2回目の使用でアクションカード（Ｃ）を2回使用する。※「玉座の間」を使用し、複数の効果の中から選択するカードを選んだ場合、1回目の使用と2回目の使用では異なる効果を選んでもよい。※「玉座の間」を使用し、持続の種類を持つカード（「漁村」「策士」「前哨地」「商船」「隊商」「停泊所」「灯台」「船着場」）を選んだ場合、このターンの効果を2回使用し、「玉座の間」と持続カードを一緒に自分の前に置き、次のターンに次のターンの効果を2回使用する。※「玉座の間」を使用し「祝宴」を選んだ場合、1回目の使用で「祝宴」は廃棄されるため、2回目の使用では「祝宴」の廃棄できない。しかし、「祝宴」の廃棄は獲得の条件ではなく個別の事項であるため、コスト5コイン以下のカードは2枚獲得できる。※「玉座の間」を使用し「共謀者」を選んだ場合、「玉座の間」の使用自体がアクション1枚目、「共謀者」の1回目の使用がアクション2枚目、2回目の使用がアクション3枚目と数えられ、この時点で「+1カードを引く、+1アクション」効果が得られる。※「玉座の間」を使用し「鉱山の村」を選んだ場合、「鉱山の村」を2回廃棄することはできない。1回目の使用で「鉱山の村」を廃棄すると、「+1カードを引く、+2アクション、+2コイン」を得て、2回目の使用では「鉱山の村」を再度廃棄することはできないため、「+1カードを引く、+2アクション」を得るだけになる。これは「鉱山の村」の廃棄を2回目の使用時に行っても同じ結果となる。※「玉座の間」を使用し「銅細工師」を選んだ場合、2回の使用による効果は累積するため、手札の銅貨は1枚につき追加の2コインを生み出す（3コインの価値になる）。※「玉座の間」を使用し「橋」を選んだ場合、2回の使用による効果は累積するため、すべてのカードのコストが2コイン少なくなる。※「玉座の間」を使用し「策士」を選んだ場合、「+10カードを引く、+2カードを購入、+2アクション」は得られない。これは1回目の使用で手札を全て捨てるため、2回目の使用では手札が1枚もなく、2回目は条件を満たさないからである。※「玉座の間」を使用し「島」を選んだ場合、1回目の使用で「島」と手札のカード1枚を脇に置き、2回目の使用では手札のカードもう1枚を脇に置く。※「玉座の間」を使用し「前哨地」を選んだ場合、追加ターンは1回しか得られない。※「玉座の間」を使用し「宝の地図（Ａ）」を選んだ場合、1回目の使用で手札にもう1枚の「宝の地図（Ｂ）」があれば、ＡとＢの強制廃棄により「金貨」4枚を獲得し自分の山札の上に置く。2回目の使用では手札にさらに別の1枚の「宝の地図（Ｃ）」があればＣも強制廃棄になるが、すでにＡは廃棄されており再度廃棄することはできないため、2枚廃棄の条件を満たせず、何も獲得できない。※「玉座の間」を使用し「抑留」を選んだ場合、1回目の使用で「抑留」は廃棄されるため、2回目の使用では「抑留」の廃棄は行われない（できない）。しかし、抑留トークンは2枚置くことになる。なお、その2枚を同一のサプライ山札に置く必要はない。※「玉座の間」を使用し「王女」を選んだ場合、2回使用しても「王女」は場に1枚しか出ていないため、「カードのコストは2コイン少なくなる」の効果は累積せず、4コイン少なくなることはない。※「玉座の間」を使用し「値切り屋」を選んだ場合、2回使用しても「値切り屋」は場に1枚しか出ていないため、「購入したカードよりもコストが少ない勝利点以外のカード1枚を獲得する」の効果は累積せず、複数枚のカードを購入しても複数枚のカードを獲得することはできない。※「玉座の間」を使用し「狂人」を選んだ場合、1回目の使用で「+2アクション」を得て、「狂人」を「狂人」の山札に戻し、手札と同じ枚数のカードを引く。2回目の使用ではもう一度「+2アクション」を得るが、「狂人」はすでに「狂人」の山札に戻っており、再度戻すことに失敗するため、2度目の手札と同じ枚数のカードを引くことはできず、ここで「狂人」のアクションは完了となる。※「玉座の間」を使用し「はみだし者」を選んだ場合、2回目も1回目に選んだカードと同じカードを選び使用する。※「玉座の間」を使用し「商人ギルド」を選んだ場合、2回使用しても「商人ギルド」は場に1枚しか出ていないため、「あなたはカード1枚を購入するとき、コイントークン1枚を得る」の効果は累積せず、カード1枚を購入してもコイントークンは1枚しか得ることができない。
15	研究所	けんきゅうじょ	Laboratory	基本	5	5	0	0	王国	Action	0	2	1	0	0	0	【能力】+2カードを引く。+1アクション。	【Ability】+2 Cards+1 Action	【説明】カードを2枚引く。自分のアクションフェイズにもう1つアクションを使用できる。（メモ）
16	鉱山	こうざん	Mine	基本	5	5	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたの手札の財宝カード1枚を廃棄する。廃棄した財宝よりもコストが最大3コイン多い財宝カード1枚を獲得し、あなたの手札に加える。	【Ability】Trash a Treasure card from your hand.Gain a Treasure card costing up to 3 Coins more; put it into your hand.	【説明】通常、「銅貨」1枚を廃棄して「銀貨」1枚を獲得、または「銀貨」1枚を廃棄して「金貨」1枚を獲得できる。しかし、財宝1枚を廃棄して、同じ種類の財宝やコストの少ない財宝を獲得することも可能である。ここで獲得した財宝カードは自分の手札に加えるため、同一ターンに使うことができる。廃棄する財宝カードが手札にない場合、カードを獲得することはできない。（メモ）※財宝カード1枚を廃棄した場合、コストが最大3コイン多い財宝カード1枚を獲得し手札に加えるのは強制である。ただしサプライに該当する財宝カードがない場合は、何も獲得できない。※手札に廃棄する財宝カードがない場合でも、「鉱山」を使用することはできる。この場合は何の効果も発生せず、「鉱山」の空撃ちになる。ただし「鉱山」自体は1アクションを消費し使用したことになる。※手札公開の義務がないため、手札の財宝カードを隠しての「鉱山」空撃ちが可能だが、すべきではない。※コストにポーションのある財宝カード「賢者の石」を獲得するためには、「賢者の石」を廃棄しなければならない。※財宝カード1枚を獲得するときに、リアクションとして「交易人」を手札から公開した場合、獲得するカードの代わりに「銀貨」1枚を獲得するが、この「銀貨」は手札には加えず捨て札に置く。
17	工房	こうぼう	Workshop	基本	3	3	0	0	王国	Action	0	0	0	0	0	0	【能力】コスト最大4コインまでのカード1枚を獲得する。	【Ability】Gain a card costing up to 4 Coins.	【説明】獲得したカードは、自分の捨て札置き場に置く。獲得するカードは、サプライにあるカードでなければならない。財宝やアクションカード（「市場」など）を使用して、コインを増やして獲得するカードのコストを増やすことはできない。（メモ）※コストが4コイン以下であっても、コストにポーションのあるカード（「大学」「念視の泉」「使い魔」「変成」「薬師」「ブドウ園」「賢者の石」「錬金術師」「ゴーレム」「支配」）は獲得できない。
18	宰相	さいしょう	Chancellor	基本	3	3	0	0	王国	Action	0	0	0	0	2	0	【能力】+2コイン。あなたの山札のカードすべてを、即座に捨て札に置くことができる。	【Ability】+2 CoinsYou may immediately put your deck into your discard pile.	【説明】使用するプレイヤーは、このターンに他の事（他のアクションカードの使用や、カードの購入）を実行する前に「宰相」（自分の山札を表向きにして捨て札置き場に置くかどうかの決定）を解決しなければならない。山札のカードの内容を、捨て札にする前に見ることはできない。（メモ）※「宰相」の効果は「捨て札に置く」であり、「捨て札にする」ではない。よって、リアクションとして「坑道」を公開することはできない。
19	祝宴	しゅくえん	Feast	基本	4	4	0	0	王国	Action	0	0	0	0	0	0	【能力】このカードを廃棄する。コスト5コイン以下のカード1枚を獲得する。	【Ability】Trash this card.Gain a card costing up to 5 Coins.	【説明】ここで獲得したカードは、自分の捨て札置き場に置く。獲得するカードは、サプライにあるカードでなければならない。財宝やアクションカード（「市場」など）を使用してコインを増やして、獲得するカードのコストを増やすことはできない。「祝宴」に「玉座の間」を使用した場合、「祝宴」を廃棄置き場に置くのは1回だけだが、2枚のカードを獲得することができる。「祝宴」を廃棄することは、カード獲得の条件ではない。廃棄と獲得の2つの事項がこのカードの効果である。（メモ）※コストが5コイン以下であっても、コストにポーションのあるカード（「大学」「念視の泉」「使い魔」「変成」「薬師」「ブドウ園」「賢者の石」「錬金術師」「ゴーレム」「支配」）は獲得できない。
20	祝祭	しゅくさい	Festival	基本	5	5	0	0	王国	Action	0	0	2	1	2	0	【能力】+2アクション。+1カードを購入。+2コイン。	【Ability】+2 Actions+1 Buy+2 Coins	【説明】複数の「祝祭」を使用する場合、自分のアクション数に注意する。残りのアクションの数を、常に声に出して宣言すると良い。（例：「私は祝祭を使って、アクションが2残っています。私は市場を使って、アクションが2残っています。私はもう1枚の祝祭を使って、アクションの残りは3です…」など。）（メモ）
21	書庫	しょこ	Library	基本	5	5	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたの手札が7枚になるまでカードを引く。この方法で引いたアクションカードを脇に置いてもよい。（7枚には数えない。）脇に置いたカードは、このアクションの後、捨て札にする。	【Ability】Draw until you have 7 cards in hand.You may set aside any Action cards drawn this way， as you draw them; discard the set aside cards after you finish drawing.	【説明】効果の解決中に自分の捨て札をシャッフルして新たな山札を作らなければならない場合、脇に置いたカードを、シャッフルして新たな山札に入れないようにする。脇に置いたカードは、カードを引き終わったときに、捨て札に置く。新たな山札を作っても、山札のカードが足りない場合、新たな山札にあったカードだけしか引くことができない。アクションカードを脇に置くことは、強制ではなく、脇に置かないことも選択できる。「書庫」を使用したときに自分の手札が7枚以上ある場合、カードを引くことはできない。（メモ）※山札からカードを引くときは、1枚ずつ引き、その1枚を見て、その1枚がアクションカードである場合は手札に入れるか脇に置くかを選択する。これを手札が7枚になるまで繰り返す。※リアクションカードはアクションカードではないため、脇に置くことではできない。
22	地下貯蔵庫	ちかちょぞうこ	Cellar	基本	2	2	0	0	王国	Action	0	0	1	0	0	0	【能力】+1アクション。手札から好きな枚数のカードを捨て札にする。捨て札1枚につき、カードを1枚引く。	【Ability】+1 ActionDiscard any number of cards.+1 Card per card discarded.	【説明】「地下貯蔵庫」の効果の解決時には「地下貯蔵庫」のカード自身は手札にはないため、「地下貯蔵庫」のカード自身を捨て札にすることはできない。使用時には、どのカードを捨て札にするかを選択し、選択したカードすべてを1度に捨て札にする。カードを捨て札にした後のみ、カードを引くことができる。引くときに山札のカードが足りず捨て札をシャッフルする場合、このカードの効果で捨て札にしたカードも一緒にシャッフルする。（メモ）
23	庭園	ていえん	Gardens	基本	4	4	0	0	王国	Victory	0	0	0	0	0	0	【能力】あなたの山札のカード10枚（端数切り捨て）につき勝利点1を得る。	【Ability】Worth 1 VP for every 10 cards in your deck (rounded down).	【説明】この王国カードは、アクションカードではなく、勝利点カードである。このカードは、ゲーム終了時まで何の効果もない。ゲーム終了時に、自分のデッキのカード（自分の山札、手札、捨て札のすべてのカード）10枚につき勝利点1を獲得できる。自分のデッキが39枚のとき、端数の9枚は切り捨てられて勝利点にならず、「庭園」のカードで獲得できる勝利点は3になる。ゲームの準備のとき、3人または4人でゲームをする際は12枚、2人でゲームをする際は8枚の山札をサプライに配置する。（メモ）※「山札のカード」とは、正しくは「自分のデッキの全カード」であり、「庭園」自体も含めて数える。
24	泥棒	どろぼう	Thief	基本	4	4	0	0	王国	Action-Attack	0	0	0	0	0	0	【能力】他のプレイヤーは全員、自分の山札の上から2枚のカードを公開する。財宝カードを公開した場合、その中の1枚をあなたが選んで廃棄する。あなたはここで廃棄したカードのうち好きな枚数を獲得できる。他の公開したカードはすべて捨て札にする。	【Ability】Each other player reveals the top 2 cards of his deck.If they revealed any Treasure cards， they trash one of them that you choose.You may gain any or all of these trashed cards. They discard the other revealed cards.	【説明】山札の残りカードが1枚しかないプレイヤーは、最後の1枚のカードを公開した後、捨て札（公開した1枚は含まない）をシャッフルして新たな山札を作り、もう1枚のカードを公開する。山札にカードが1枚もないプレイヤーは、捨て札をシャッフルして新たな山札を作り、そこから2枚を公開する。シャッフルして作った新たな山札にもカードが2枚ない場合、あるカードだけを公開する。各プレイヤーは、公開した2枚のカードの中から「泥棒」を使用したプレイヤーが選択した多くとも1枚のカードを廃棄し、それから「泥棒」を使用したプレイヤーは、廃棄されたカードの中から好きなカードを獲得する。このカードの効果で廃棄された財宝カードのみ獲得でき、元から廃棄置き場にあったカードは獲得できない。1枚も獲得しないことも、すべてを獲得することも、何枚かだけを獲得することもできる。獲得した財宝カードは、自分の捨て札置き場に置く。獲得しなかった（選ばなかった）カードは、そのまま廃棄置き場に残る。（メモ）
25	冒険者	ぼうけんしゃ	Adventurer	基本	6	6	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたの山札から財宝カード2枚が公開されるまで、カードを公開する。公開した財宝カード2枚を手札に加え、他の公開したカードは捨て札に置く。※「坑道」の訳注にはないが、「冒険者」「公使」「義賊」「公爵夫人」のカードテキストにある「捨て札に置く」も「捨て札にする」と読み替える。これらのカードテキストの能力で「坑道」が捨て札にされたとき、リアクションの能力を使用できる。	【Ability】Reveal cards from your deck until you reveal 2 Treasure cards.Put those Treasure cards in your hand and discard the other revealed cards.	【説明】解決中に山札がなくなる場合は、捨て札をシャッフルして新たな山札を作る。カードの公開が完了するまでは、公開中のカードを捨て札に置いてシャッフルしてはならない。シャッフルして新たな山札を作っても、財宝カードが1枚しか公開されないまま新たな山札がなくなった場合は、その1枚だけを入手する。（メモ）※シャッフルしても山札から財宝カードが1枚も公開されない場合、何も手札に加えられない。
26	堀	ほり	Moat	基本	2	2	0	0	王国	Action-Reaction	0	2	0	0	0	0	【能力】+2カードを引く。他のプレイヤーがアタックカードを使用した時、手札からこのカードを公開できる。そうした場合、あなたはそのアタックカードの影響を受けない。	【Ability】+2 Cards When another player plays an Attack card， you may reveal this from your hand. If you do， you are unaffected by that Attack.	【説明】アタックカードは、カードの下部に「アタック」と（通常「アクション−アタック」と）表記されている。いずれかのプレイヤーがアタックカードを使用したとき、（アタックの解決前に）自分の手札の「堀」カードを他のプレイヤーに見せることができ、その後自分の手札に戻す。自分は、そのアタックの影響を受けない。「魔女」の呪いカードを受け取ることも、「密偵」のためにカードを公開することもない。「堀」を見せたプレイヤーは、そのアタックの効果を適用するときに、ゲームに参加していないかのように扱う。「堀」は、他のプレイヤーへのアタックや、アタックをするプレイヤーへの効果を無効にすることはない。例えば、他のプレイヤー全員が「魔女」に対して「堀」を使用しても、「魔女」を使用したプレイヤーは、カードを2枚引くことができる。「堀」は、カードを2枚引くアクションとして、自分のターンに使用することもできる。（メモ）※リアクションとして公開する場合、他プレイヤーのアタック使用宣言より後、アタックの効果の解決より前に公開する。アタックを使用するプレイヤーはリアクションの公開を受けてアタックの使用自体を取り消すことはできない。
27	魔女	まじょ	Witch	基本	5	5	0	0	王国	Action-Attack	0	2	0	0	0	0	【能力】+2カードを引く。他のプレイヤーは全員、呪いカードを1枚ずつ獲得する。	【Ability】+2 CardsEach other player gains a Curse card.	【説明】「魔女」を使用したときに「呪い」カードの残り枚数が足りない場合、自分の左隣のプレイヤーからターン進行順に「呪い」カードを1枚ずつ配っていく。サプライに「呪い」カードが1枚もない場合でも、使用したプレイヤーはカードを2枚引く。獲得した「呪い」カードは、各自の捨て札置き場に置く。（メモ）
28	密偵	みってい	Spy	基本	4	4	0	0	王国	Action-Attack	0	1	1	0	0	0	【能力】+1カードを引く。+1アクション。各プレイヤー（あなたも含む）は、自分の山札の一番上のカードを公開し、そのカードを捨て札にするかそのまま戻すかをあなたが選ぶ。	【Ability】+1 Card+1 ActionEach player (including you) reveals the top card of his deck and either discards it or puts it back， your choice.	【説明】「密偵」のカードは、使用したプレイヤーを含むすべてのプレイヤーが、自分の山札の一番上のカードを公開する。使用したプレイヤーは、自分の山札を公開する前にカードを1枚引くということに注意する。自分の山札のカードがないプレイヤーは、カードを公開するために捨て札をシャッフルして、新たな山札を作る。この効果の適用順が重要な場合は、「密偵」を使用したプレイヤーから、ターンの進行順で解決していく。公開して捨て札にしなかったカードは、各プレイヤーの山札の一番上に戻す。（メモ）
29	民兵	みんぺい	Militia	基本	4	4	0	0	王国	Action-Attack	0	0	0	0	2	0	【能力】+2コイン。他のプレイヤーは全員、自分の手札が3枚になるまで捨て札をする。	【Ability】+2 CoinsEach other player discards down to 3 cards in his hand.	【説明】アタックされるプレイヤーは、自分の手札が3枚になるまでカードを捨て札に置かなければならない。「民兵」の使用時に、手札が3枚以下のプレイヤーは、手札を捨て札にできない。（メモ）
30	村	むら	Village	基本	3	3	0	0	王国	Action	0	1	2	0	0	0	【能力】+1カードを引く。+2アクション。	【Ability】+1 Card+2 Actions	【説明】複数の「村」を使用した場合、自分の残りアクション数に注意する。残りのアクションの数を、常に声に出して宣言すると良い。（メモ）
31	役人	やくにん	Bureaucrat	基本	4	4	0	0	王国	Action-Attack	0	0	0	0	0	0	【能力】銀貨1枚を獲得し、あなたの山札の上に置く。他のプレイヤーは全員、自分の手札から勝利点カード1枚を公開し、自分の山札の上に置く。（手札に勝利点カードがない場合、手札を公開する。）。	【Ability】Gain a silver card; put it on top of your deck.Each other player reveals a Victory card from his hand and puts it on his deck (or reveals a hand with no Victory cards).	【説明】このカードを使用するときに自分の山札にカードが1枚もない場合、獲得した「銀貨」が自分の山札の唯一のカードとなる。同様に、他のプレイヤーも自分の山札が1枚もない場合は、山札に置く勝利点カードが自分の山札の唯一のカードとなる。（メモ）※サプライに「銀貨」がない場合、「銀貨」を山札に獲得できない。※「銀貨」1枚を獲得するときに、リアクションとして「交易人」を手札から公開した場合、獲得する「銀貨」1枚は山札の上には置かず捨て札に置く。
32	礼拝堂	れいはいどう	Chapel	基本	2	2	0	0	王国	Action	0	0	0	0	0	0	【能力】あなたの手札から最大4枚までのカードを、廃棄する。	【Ability】Trash up to 4 cards from your hand.	【説明】解決時には「礼拝堂」のカード自身は手札にないため、「礼拝堂」のカード自身を廃棄することはできない。別の「礼拝堂」のカードが手札にあれば、それを廃棄することは可能である。（メモ）
33	大広間	おおひろま	Great Hall	陰謀	3	3	0	0	王国	Action-Victory	1	1	1	0	0	0	【能力】+1カードを引く。+1アクション。1勝利点。	【Ability】+1 Card+1 Action 1 VP	【説明】このカードは、アクションカードと勝利点カードの両方としてみなす。このカードを使用するとき、あなたはカードを1枚引き、追加のアクションを1つ使用できる。ゲームの終了時に、「屋敷」カードと同様に勝利点1になる。「大広間」は、3人または4人でプレイする際は12枚、2人でプレイする際は8枚の山札を準備の時にサプライに置く。（メモ）
34	改良	かいりょう	Upgrade	陰謀	5	5	0	0	王国	Action	0	1	1	0	0	0	【能力】+1カードを引く。+1アクション。あなたの手札からカード1枚を廃棄する。廃棄したカードよりコストが1コイン多いカード1枚を獲得する。	【Ability】+1 Card+1 ActionTrash a card from your hand.Gain a card costing exactly 1 Coin more than it.	【説明】先にカード1枚を引く。その後に手札1枚を廃棄し、廃棄したカードよりコストが1コイン多いカードを獲得する。獲得するカードはサプライにあるものでなければならず、獲得したら捨て札に置く。該当するコストのカードがサプライに1枚もない場合、廃棄だけをして、何も獲得できない。手札にカードを1枚も持っていない場合、廃棄も獲得もできない。カードのコストは、「橋」の影響を受ける。「橋」の効果は、廃棄するカードと獲得するカードの両方に影響するため、結果的な影響はあまりない。しかし、「橋」の効果でコストは0未満にならないため、「改良」の前に「橋」を使用することで、「銅貨」（「橋」の影響下でもコスト0）を廃棄して、「屋敷」（「橋」の影響下でコスト1）を獲得できる。（メモ）※コストにポーションのあるカード（「大学」「念視の泉」「使い魔」「変成」「薬師」「ブドウ園」「賢者の石」「錬金術師」「ゴーレム」「支配」）を獲得するためには、コストにポーションのあるカードを廃棄しなければならない。
35	仮面舞踏会	かめんぶとうかい	Masquerade	陰謀	3	3	0	0	王国	Action	0	2	0	0	0	0	【能力】+2カードを引く。各プレイヤーは、自分の手札のカード1枚を選び、左隣のプレイヤーに同時に渡す。その後、あなたは自分の手札のカード1枚を廃棄してもよい。	【Ability】+2 CardEach player passes a card in his hand to the left at once. Then you may trash a card from your hand.	【説明】先にカード2枚を引く。次にプレイヤー全員が同時に自分の手札のカード1枚を選び、テーブル上の左隣のプレイヤーとの間に、裏向きにしてそのカードを置く。その後、左隣のプレイヤーはそのカードを取って自分の手札に加える。カードは同時に渡さなければならず、自分が渡すカードを選ぶまで、渡されるカードを見ることができない。最後にあなたの手札にあるカード1枚を廃棄することができる。「仮面舞踏会」を使用したプレイヤーだけが、カードを廃棄できる。これはアタックではないため、「堀」や「秘密の部屋」で対応することができない。（メモ）※カードを渡すことは廃棄ではなく、渡されたカードを受け取ることは獲得ではない。よって獲得・廃棄に対するリアクション（「望楼」「愚者の黄金」「交易人」「青空市場」）は使用できない。※自分の手札のカード1枚を廃棄するときには、リアクションとして「青空市場」を手札から捨て札にしてもよい。そうした場合、金貨1枚を獲得する。※手札にカードが1枚もない場合、何も渡さない。その場合でも、渡されたカードを受け取ることはできる。
36	貴族	きぞく	Nobles	陰謀	6	6	0	0	王国	Action-Victory	2	0	0	0	0	0	【能力】次のうち1つを選ぶ：「+3カードを引く」；「+2アクション」 2勝利点。	【Ability】Choose one: +3 Cards， or +2 Actions. 2 VP	【説明】このカードは、アクションカードと勝利点カードの両方としてみなす。このカードを使用するとき、カードを3枚引くか、追加のアクションを2つ実行するかのどちらかを選択する。両方を選択することはできない。ゲームの終了時に、勝利点2になる。「貴族」は、3人または4人でプレイする際は12枚、2人でプレイする際は8枚の山札を準備の時にサプライに置く。（メモ）
